Protein A;Gene A;Protein B;Gene B;Score;PMID
Q9HA38;ZMAT3;Q8N4V1;MMGT1;0.236;26496610 
Q8N5U6;RNF10;P62837;UBE2D2;0.554;19549727 26186194 28514442 
Q86UW9;DTX2;P62837;UBE2D2;0.236;unassigned1304 
P62837;UBE2D2;P0CG47;UBB;0.236;26186194 28514442 
P62837;UBE2D2;O43567;RNF13;0.286;19690564 
P62837;UBE2D2;O60291;MGRN1;0.286;19549727 
Q6ZSG1;RNF165;P62837;UBE2D2;0.702;19690564 26656854 
Q13064;MKRN3;P62837;UBE2D2;0.286;19549727 
Q00987;MDM2;P62837;UBE2D2;1;22157679 18451149 22301280 21965653 24127580 22902369 19816404 24980433 20705607 19219073 10722742 19372219 24567357 20874444 10562557 23871895 19619542 17159902 18632619 14517261 22989009 16338390 17349959 26025930 18665269 15280377 21084285 11724934 
Q15067;ACOX1;P62837;UBE2D2;0.236;26186194 28514442 
Q13233;MAP3K1;P62837;UBE2D2;0.286;19690564 
Q6Q0C0;TRAF7;P62837;UBE2D2;0.286;19549727 
Q9HAC8;UBTD1;P62837;UBE2D2;0.583;24211586 unassigned1304 
Q8N9I9;DTX3;P62837;UBE2D2;0.286;19549727 
Q96DX4;RSPRY1;P62837;UBE2D2;0.286;19549727 
Q8WVD3;RNF138;P62837;UBE2D2;0.286;19549727 
Q96B67;ARRDC3;P62837;UBE2D2;0.236;unassigned1304 
Q96G75;RMND5B;P62837;UBE2D2;0.286;19690564 
Q9H0F5;RNF38;P62837;UBE2D2;0.659;19549727 23973461 25801170 
Q9BWX1;PHF7;P62837;UBE2D2;0.236;unassigned1304 
Q9BYV2;TRIM54;P62837;UBE2D2;0.236;unassigned1304 
Q9BZY9;TRIM31;P62837;UBE2D2;0.49;19549727 21143188 
Q9NWM3;CUEDC1;P62837;UBE2D2;0.236;unassigned1304 
Q9UBS8;RNF14;P62837;UBE2D2;0.286;19549727 
Q9P0P0;RNF181;P62837;UBE2D2;0.569;19690564 26711259 
Q9ULK6;RNF150;P62837;UBE2D2;0.286;19690564 
Q9Y577;TRIM17;P62837;UBE2D2;0.583;19549727 22493164 21143188 
Q9HA38;ZMAT3;O75569;PRKRA;0.454;25416956 
Q8NA92;THAP8;P62837;UBE2D2;0.236;26186194 28514442 
Q9HA38;ZMAT3;O14730;RIOK3;0.236;26496610 
Q12959;DLG1;A1A5B4;ANO9;0.309;24550280 21525870 
Q86TM6;SYVN1;P62837;UBE2D2;0.523;21987572 11724934 
Q9UJV3;MID2;P62837;UBE2D2;0.554;unassigned1304 21143188 
